==================================================
 cProfile Execution Report: profile_delete_tickets
 Sorted By: cumulative (Top 20 Calls)
 Saved Binary: cprofile_results\profile_delete_tickets.prof
==================================================

         133048 function calls (132197 primitive calls) in 0.377 seconds

   Ordered by: cumulative time
   List reduced from 845 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  701/700    0.009    0.000    0.551    0.001 base_events.py:1980(_run_once)
     1075    0.003    0.000    0.497    0.000 events.py:87(_run)
     1075    0.008    0.000    0.482    0.000 {method 'run' of '_contextvars.Context' objects}
      450    0.001    0.000    0.249    0.001 _tasks.py:270(_run_coro)
      450    0.001    0.000    0.247    0.001 base.py:139(coro)
      225    0.001    0.000    0.223    0.001 exceptions.py:47(__call__)
  450/225    0.002    0.000    0.222    0.001 _exception_handler.py:31(wrapped_app)
      225    0.001    0.000    0.221    0.001 asyncexitstack.py:15(__call__)
      225    0.001    0.000    0.220    0.001 routing.py:656(__call__)
      225    0.002    0.000    0.219    0.001 routing.py:2670(app)
      225    0.000    0.000    0.211    0.001 routing.py:1764(handle)
      225    0.001    0.000    0.211    0.001 routing.py:2734(handle)
      225    0.001    0.000    0.206    0.001 routing.py:1768(_handle_selected)
      225    0.001    0.000    0.188    0.001 routing.py:1247(handle)
      225    0.002    0.000    0.181    0.001 routing.py:127(app)
      151    0.000    0.000    0.116    0.001 cprofile_runner.py:176(_workload)
      175    0.000    0.000    0.116    0.001 _client.py:1949(delete)
      175    0.000    0.000    0.115    0.001 _client.py:1485(request)
      150    0.000    0.000    0.113    0.001 cprofile_runner.py:224(_main)
      150    0.000    0.000    0.113    0.001 cprofile_runner.py:184(run_all_profiles)


