==================================================
 cProfile Execution Report: profile_update_tickets
 Sorted By: cumulative (Top 20 Calls)
 Saved Binary: cprofile_results\profile_update_tickets.prof
==================================================

         179192 function calls (177741 primitive calls) in 0.464 seconds

   Ordered by: cumulative time
   List reduced from 902 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1001/1000    0.014    0.000    0.561    0.001 base_events.py:1980(_run_once)
     2075    0.005    0.000    0.492    0.000 events.py:87(_run)
     2075    0.011    0.000    0.488    0.000 {method 'run' of '_contextvars.Context' objects}
      700    0.003    0.000    0.232    0.000 _tasks.py:270(_run_coro)
      500    0.001    0.000    0.199    0.000 base.py:139(coro)
      275    0.001    0.000    0.177    0.001 exceptions.py:47(__call__)
  550/275    0.002    0.000    0.176    0.001 _exception_handler.py:31(wrapped_app)
      275    0.001    0.000    0.175    0.001 asyncexitstack.py:15(__call__)
      275    0.001    0.000    0.174    0.001 routing.py:656(__call__)
      275    0.001    0.000    0.174    0.001 routing.py:2670(app)
      275    0.004    0.000    0.168    0.001 routing.py:1764(handle)
      275    0.001    0.000    0.163    0.001 routing.py:2734(handle)
      275    0.001    0.000    0.162    0.001 routing.py:1768(_handle_selected)
      275    0.001    0.000    0.155    0.001 routing.py:1247(handle)
      275    0.001    0.000    0.146    0.001 routing.py:127(app)
      151    0.000    0.000    0.118    0.001 cprofile_runner.py:159(_workload)
      175    0.000    0.000    0.118    0.001 _client.py:1912(patch)
      175    0.000    0.000    0.118    0.001 _client.py:1485(request)
      150    0.000    0.000    0.115    0.001 cprofile_runner.py:224(_main)
      150    0.000    0.000    0.115    0.001 cprofile_runner.py:184(run_all_profiles)


